Type,Method,Regionname,Rooms,Bathroom,Car,Distance,Distance_2,YearBuilt,YearBuilt_2,YearBuilt_3,Propertycount,Log_landsize,Log_buildingarea,CPI,SC_Distance,Jan_h,Feb_t,Log_price
t,S,Southern Metropolitan,3,2,1,10.4,108.16000000000001,2012,4048144,445068864,5678,5.337538079701318,4.976733742420574,1.0282944332908799,17.976682709769086,0,0,13.729953758926653
h,SP,Southern Metropolitan,5,3,2,7.7,59.290000000000006,1920,3686400,1512046592,8920,6.739336627357174,5.318119993844216,1.0282944332908799,13.71858085109133,0,0,14.674596239616903
h,VB,Southern Metropolitan,3,2,2,10.1,102.00999999999999,1930,3724900,1400877592,7822,6.324358962381311,5.303304908059076,1.0282944332908799,16.92760519600506,0,0,14.253766134056512
h,S,South-Eastern Metropolitan,3,2,2,34.9,1218.01,1993,3972049,673640935,8060,6.234410725718371,4.836281906951478,1.0282944332908799,51.17071247636389,0,0,13.122365377402328
t,S,Southern Metropolitan,3,2,2,8.7,75.68999999999998,1990,3960100,709335592,5051,0.0,4.912654885736052,1.0282944332908799,14.393362045518518,0,0,14.028200459781736
t,S,Southern Metropolitan,3,2,2,17.9,320.40999999999997,2000,4000000,589934592,9758,5.723585101952381,4.875197323201151,1.0282944332908799,26.483159448490966,0,0,13.66585094484938
h,S,South-Eastern Metropolitan,3,1,1,16.7,278.89,1965,3861225,1002627467,5837,6.705639094860003,4.875197323201151,1.0282944332908799,26.83071767597206,0,0,14.195316603286155
h,S,Northern Metropolitan,4,2,2,20.6,424.36000000000007,2007,4028049,505640249,15510,6.329720905522696,5.283711214158674,1.0282944332908799,27.717382269150146,0,0,13.304686600863562
h,S,Eastern Metropolitan,4,2,2,23.0,529.0,2016,4064256,396394496,2985,6.7357800142423265,5.2832037287379885,1.0282944332908799,35.33557783884345,0,0,13.617060838751888
h,S,South-Eastern Metropolitan,4,2,2,22.2,492.84,1980,3920400,827542592,3940,6.734591659972948,5.472270673671475,1.0282944332908799,33.274996583614154,0,0,13.910821646859095
h,PI,Eastern Metropolitan,4,2,2,12.4,153.76000000000002,2008,4032064,493550080,9028,5.638354669333745,5.303304908059076,1.0282944332908799,18.858713955158937,0,0,13.928840136128022
u,S,Eastern Metropolitan,3,2,1,14.3,204.49,1980,3920400,827542592,10999,5.4680601411351315,4.983606621708336,1.0282944332908799,22.250837872913134,0,0,13.652992804936396
h,PI,Eastern Metropolitan,4,3,2,14.3,204.49,2006,4024036,517718376,10999,5.652489180268651,5.198497031265826,1.0282944332908799,19.738399309161732,0,0,13.933294482509151
h,PI,Northern Metropolitan,3,1,0,1.3,1.6900000000000002,1890,3572100,1838665592,3040,4.77912349311153,5.181783550292085,1.0282944332908799,3.6287323613292455,0,0,14.444119750719839
t,S,Northern Metropolitan,2,2,1,1.3,1.6900000000000002,2005,4020025,529784467,3040,4.477336814478207,4.7535901911063645,1.0282944332908799,3.2278352174260005,0,0,14.115615891155079
h,SP,Southern Metropolitan,3,1,0,7.2,51.84,1915,3667225,1567198717,4898,5.934894195619588,4.897839799950911,1.0282944332908799,13.03918738623896,0,0,14.19394767861579
u,S,Southern Metropolitan,2,1,1,7.2,51.84,1970,3880900,944561592,4898,7.067319848653476,4.248495242049359,1.0282944332908799,12.520040525827405,0,0,13.217675375388819
h,SP,Eastern Metropolitan,4,2,2,18.0,324.0,1966,3865156,991037896,6990,6.705639094860003,5.497168225293202,1.0282944332908799,27.06286827253517,0,0,13.878486296092358
h,S,Eastern Metropolitan,4,2,3,18.0,324.0,1985,3940225,768587967,6990,6.912742820493176,5.220355825078324,1.0282944332908799,31.534988519291236,0,0,13.792754593859037
u,S,Southern Metropolitan,2,1,1,7.2,51.84,1935,3744225,1344859217,8989,0.0,4.477336814478207,1.0282944332908799,11.00025041864526,0,0,13.60479076121576
u,S,Southern Metropolitan,2,1,1,7.2,51.84,1960,3841600,1060398592,8989,0.0,4.31748811353631,1.0282944332908799,9.456415231451931,0,0,13.204866440535003
h,SP,Northern Metropolitan,4,1,3,19.6,384.1600000000001,1980,3920400,827542592,10926,6.326149473155099,5.075173815233827,1.0282944332908799,25.937508226111206,0,0,13.399996629152975
h,S,Northern Metropolitan,3,2,2,19.6,384.1600000000001,2012,4048144,445068864,10926,6.042632833682381,5.25227342804663,1.0282944332908799,26.971907722166378,0,0,13.249878458265119
h,S,Northern Metropolitan,4,2,2,19.6,384.1600000000001,1980,3920400,827542592,10926,6.48768401848461,5.117993812416755,1.0282944332908799,29.028979422505603,0,0,13.429849547739444
u,S,Western Metropolitan,2,1,1,7.5,56.25,1970,3880900,944561592,9264,6.826545223556594,4.442651256490317,1.0282944332908799,11.752552630248807,0,0,13.270785106659046
t,S,Western Metropolitan,4,2,2,7.5,56.25,2003,4012009,553880565,9264,0.0,4.962844630259907,1.0282944332908799,12.880901792619698,0,0,13.785052381406869
h,S,Western Metropolitan,2,1,1,7.5,56.25,1940,3763600,1288550592,9264,5.823045895483019,4.812184355372417,1.0282944332908799,10.682693222325424,0,0,13.993657580167481
h,PI,Western Metropolitan,4,1,3,7.5,56.25,1900,3610000,1730934592,9264,6.424869023905388,5.14166355650266,1.0282944332908799,10.787502167910645,0,0,13.959611767738522
t,PI,Western Metropolitan,3,2,1,8.2,67.24,2012,4048144,445068864,1308,5.087596335232384,5.0106352940962555,1.0282944332908799,14.384267171578504,0,0,13.592368256649284
h,S,Northern Metropolitan,5,2,2,13.1,171.60999999999999,1990,3960100,709335592,5070,6.6039438246004725,5.272999558563747,1.0282944332908799,12.220044920685728,0,0,13.833351458410394
h,S,Eastern Metropolitan,5,3,2,24.8,615.0400000000001,2001,4004001,577928591,10788,6.729824070489475,6.672032945461067,1.0282944332908799,33.846983459064155,0,0,13.910821646859095
h,S,Northern Metropolitan,3,2,1,2.1,4.41,1950,3802500,1175059592,5825,4.110873864173311,5.303304908059076,1.0282944332908799,4.3882763721566835,0,0,14.147688587662463
u,PI,Western Metropolitan,1,1,0,5.1,26.009999999999998,1888,3564544,1860075520,7570,0.0,3.9889840465642745,1.0282944332908799,6.373085524142017,0,0,12.644330802262578
h,S,Western Metropolitan,5,2,3,12.9,166.41,1975,3900625,886200217,3285,6.313548046277095,5.402677381872279,1.0282944332908799,20.269307286976705,0,0,13.445896549926763
h,PI,Eastern Metropolitan,3,2,2,16.7,278.89,1992,3968064,685551104,15321,7.372118028337787,5.680172609017068,1.0282944332908799,25.24775433730385,0,0,14.932617756493626
h,PI,Eastern Metropolitan,5,3,2,16.7,278.89,1960,3841600,1060398592,15321,6.4967749901858625,4.787491742782046,1.0282944332908799,24.484573838777813,0,0,14.790070575320824
t,S,Eastern Metropolitan,3,2,2,16.7,278.89,2002,4008004,565910584,15321,0.0,4.897839799950911,1.0282944332908799,26.313440182254396,0,0,13.39239204133378
h,S,Eastern Metropolitan,3,2,2,16.7,278.89,1980,3920400,827542592,15321,6.47543271670409,5.204006687076795,1.0282944332908799,24.21533872766515,0,0,14.253766134056512
h,S,Northern Metropolitan,3,1,2,11.2,125.43999999999998,1960,3841600,1060398592,8870,6.548219102762372,4.884845288037956,1.0282944332908799,14.253975238514451,0,0,13.567050480716235
h,S,Northern Metropolitan,4,1,3,11.2,125.43999999999998,1960,3841600,1060398592,8870,6.548219102762372,4.897839799950911,1.0282944332908799,14.145669060261941,0,0,13.567050480716235
h,S,Western Metropolitan,4,2,4,12.9,166.41,2000,4000000,589934592,1071,6.163314804034641,5.351858133476067,1.0282944332908799,17.49447538826828,0,0,13.758941264676379
h,S,Northern Metropolitan,4,2,2,20.4,416.15999999999997,2000,4000000,589934592,4864,6.289715570908998,5.043425116919247,1.0282944332908799,23.255509432984365,0,0,13.377007146164305
h,S,South-Eastern Metropolitan,3,2,4,32.3,1043.2899999999997,1995,3980025,649784717,3728,6.405228458030842,5.129129188144045,1.0282944332908799,48.59397783929127,0,0,13.30635187740947
u,S,Southern Metropolitan,3,2,2,13.8,190.44000000000003,2005,4020025,529784467,5454,0.0,4.605170185988092,1.0282944332908799,17.35838427637999,0,0,13.785052381406869
u,S,Southern Metropolitan,1,1,1,5.3,28.09,1970,3880900,944561592,11308,0.0,3.9889840465642745,1.0282944332908799,7.172848410517179,0,0,12.834683971615659
u,S,Southern Metropolitan,2,2,2,5.3,28.09,2000,4000000,589934592,11308,8.853236764745898,4.919980925828125,1.0282944332908799,7.261660728284896,0,0,13.8924725250259
h,PI,Southern Metropolitan,5,3,2,6.2,38.440000000000005,2000,4000000,589934592,6482,6.35088571671474,5.616771097666572,1.0282944332908799,8.774595000859499,0,0,14.864582751334883
h,PI,Southern Metropolitan,4,3,3,6.2,38.440000000000005,1984,3936256,780402688,6482,7.018401799069201,5.720311776607412,1.0282944332908799,11.422861696551145,0,0,14.995703140844421
t,S,Eastern Metropolitan,4,2,2,8.9,79.21000000000001,2000,4000000,589934592,2890,5.579729825986222,4.948759890378168,1.0282944332908799,19.572214766036407,0,0,13.626769641096136
h,S,Eastern Metropolitan,4,1,2,8.9,79.21000000000001,1950,3802500,1175059592,2890,6.447305862541213,5.472270673671475,1.0282944332908799,18.229513454946407,0,0,14.0225255403564
h,S,Eastern Metropolitan,3,1,2,8.8,77.44000000000001,1950,3802500,1175059592,2947,5.673323267171493,4.663439094112067,1.0282944332908799,17.65247575773051,0,0,13.28787951079572
h,S,Southern Metropolitan,4,1,2,12.3,151.29000000000002,1960,3841600,1060398592,768,6.403574197934815,5.0238805208462765,1.0282944332908799,23.922066765899757,0,0,13.95091606833254
h,VB,Western Metropolitan,3,1,4,15.5,240.25,1978,3912484,851041240,3656,6.688354713946762,5.220193649766458,1.0282944332908799,22.743408797913826,0,0,13.217675375388819
u,SP,Northern Metropolitan,2,2,1,3.4,11.559999999999999,2010,4040100,469333592,5263,7.666690200080086,4.51085950651685,1.0282944332908799,4.084143283745768,0,0,13.500801182986649
u,SP,Northern Metropolitan,1,1,1,3.4,11.559999999999999,2001,4004001,577928591,5263,0.0,4.110873864173311,1.0282944332908799,5.764180265721539,0,0,12.879019669789754
h,S,Northern Metropolitan,2,1,0,3.4,11.559999999999999,1890,3572100,1838665592,5263,4.997212273764115,4.564348191467836,1.0282944332908799,5.209115997311956,0,0,13.955273369904273
h,SP,Northern Metropolitan,4,2,0,3.4,11.559999999999999,1982,3928324,803996424,5263,5.298317366548036,4.574710978503383,1.0282944332908799,5.096011809761453,0,0,14.162640795773006
h,PI,Southern Metropolitan,5,4,2,5.4,29.160000000000004,1940,3763600,1288550592,10331,6.646390514847729,5.655991810819852,1.0282944332908799,8.181336110549355,0,0,14.97081850526951
h,S,Northern Metropolitan,3,1,2,16.3,265.69,1965,3861225,1002627467,8279,6.522092798170152,4.875197323201151,1.0282944332908799,23.296587768844923,0,0,13.366095129723817
h,PI,Southern Metropolitan,4,3,4,8.4,70.56,1910,3648100,1622063592,8801,6.8679744089702925,5.786897381366708,1.0282944332908799,15.450762510669222,0,0,14.739769856312924
u,S,Western Metropolitan,1,1,1,4.3,18.49,1972,3888784,921252544,4918,6.78897174299217,3.828641396489095,1.0282944332908799,10.849466874989817,0,0,12.614868865984631
u,VB,Northern Metropolitan,2,1,1,0.0,0.0,1999,3996001,601928593,17496,0.0,4.736198448394496,1.0282944332908799,0.7219657051677368,0,0,13.51440681653079
t,S,South-Eastern Metropolitan,3,2,2,20.0,400.0,1980,3920400,827542592,6162,6.077642243349034,4.955827057601261,1.0282944332908799,28.52736678518503,0,0,13.865253601333421
u,S,South-Eastern Metropolitan,2,1,1,20.0,400.0,1990,3960100,709335592,6162,4.624972813284271,5.707110264748875,1.0282944332908799,27.96970975525726,0,0,13.399996629152975
h,S,Northern Metropolitan,4,2,2,17.9,320.40999999999997,2013,4052169,432918395,10529,6.418364935936212,5.4680601411351315,1.0282944332908799,26.915137021561495,0,0,13.670485941982712
h,S,Eastern Metropolitan,4,1,1,17.2,295.84,1950,3802500,1175059592,6871,6.736966958001855,5.081404364984463,1.0282944332908799,22.163392953227884,0,0,14.079412869799512
t,VB,Eastern Metropolitan,3,2,2,17.2,295.84,2010,4040100,469333592,6871,5.840641657373398,4.875197323201151,1.0282944332908799,23.073132172912565,0,0,13.592368256649284
h,SP,Western Metropolitan,3,2,2,6.2,38.440000000000005,1950,3802500,1175059592,6232,6.391917113392602,5.318119993844216,1.0282944332908799,10.58790182456663,0,0,14.430696737594902
u,S,Western Metropolitan,1,1,0,6.2,38.440000000000005,2012,4048144,445068864,6232,0.0,3.4011973816621555,1.0282944332908799,8.43288443369961,0,0,12.310437165348775
h,SP,South-Eastern Metropolitan,4,2,2,21.5,462.25,2004,4016016,541838528,3650,6.403574197934815,5.272999558563747,1.0282944332908799,34.041437233693216,0,0,13.955273369904273
h,SP,Eastern Metropolitan,4,3,2,14.2,201.64,1960,3841600,1060398592,13366,6.5638555265321274,5.017279836814924,1.0282944332908799,22.022000866223543,0,0,14.117096275229743
h,S,Eastern Metropolitan,4,3,2,14.2,201.64,1960,3841600,1060398592,13366,6.580639137284949,5.521460917862246,1.0282944332908799,22.872903755640937,0,0,14.362475807049675
h,S,South-Eastern Metropolitan,4,2,4,18.8,353.44000000000005,1960,3841600,1060398592,7113,6.588926477533519,5.111987788356544,1.0282944332908799,30.9315280817769,0,0,13.712370907691596
h,S,Southern Metropolitan,3,1,2,10.1,102.00999999999999,1930,3724900,1400877592,4442,6.4425401664681985,4.890349128221754,1.0282944332908799,19.324764376338,0,0,14.260837840112353
h,S,Western Metropolitan,3,1,4,10.4,108.16000000000001,1950,3802500,1175059592,2291,6.472346294500901,5.017279836814924,1.0282944332908799,14.125770390392635,0,0,14.077875591662238
u,S,Southern Metropolitan,3,1,1,16.7,278.89,1970,3880900,944561592,902,5.968707559985366,4.77912349311153,1.0282944332908799,26.252289784671518,0,0,13.641158361294979
h,SP,Eastern Metropolitan,5,3,2,15.4,237.16000000000003,1970,3880900,944561592,4973,6.642486801367256,5.616771097666572,1.0282944332908799,20.476559431619922,0,0,13.87378040948403
h,SP,Northern Metropolitan,3,1,1,11.2,125.43999999999998,1960,3841600,1060398592,2651,6.583409222158765,4.7535901911063645,1.0282944332908799,15.659774937892838,0,0,13.641158361294979
h,SP,Northern Metropolitan,4,2,4,11.2,125.43999999999998,2001,4004001,577928591,2651,6.317164686747284,5.25227342804663,1.0282944332908799,15.803856843951085,0,0,13.884933070475634
t,S,Northern Metropolitan,2,2,1,11.2,125.43999999999998,2010,4040100,469333592,2651,5.342334251964811,4.852030263919617,1.0282944332908799,15.135412235946937,0,0,13.579789490265188
t,S,Southern Metropolitan,3,2,1,12.3,151.29000000000002,2013,4052169,432918395,2547,5.303304908059076,4.875197323201151,1.0282944332908799,24.43856517937693,0,0,13.617060838751888
h,S,South-Eastern Metropolitan,3,1,2,15.5,240.25,1950,3802500,1175059592,3692,6.513230110912307,4.624972813284271,1.0282944332908799,22.77745788885631,0,0,14.013131972728226
h,S,Southern Metropolitan,2,1,1,11.4,129.96,1970,3880900,944561592,3578,4.844187086458591,4.336636932375072,1.0282944332908799,16.551733365924672,0,0,13.451668563394815
h,S,South-Eastern Metropolitan,3,2,2,21.5,462.25,1950,3802500,1175059592,5087,6.12029741895095,4.812184355372417,1.0282944332908799,31.479892620653494,0,0,13.753636218075409
h,SP,South-Eastern Metropolitan,4,2,2,21.5,462.25,1970,3880900,944561592,5087,6.393590753950631,5.017279836814924,1.0282944332908799,30.911734928835706,0,0,14.077875591662238
h,S,Northern Metropolitan,3,2,4,8.5,72.25,1950,3802500,1175059592,7485,6.536691597591305,5.1149953094204985,1.0282944332908799,10.131312607415285,0,0,13.99699926803766
t,S,Southern Metropolitan,3,2,2,3.5,12.25,2015,4060225,408581217,8648,4.653960350157523,4.990432586778736,1.0282944332908799,2.2472023403964507,0,0,14.143375140509722
u,SP,Southern Metropolitan,1,1,1,4.6,21.159999999999997,2015,4060225,408581217,7717,0.0,3.8066624897703196,1.0282944332908799,7.005779643244651,0,0,12.994532278619134
h,VB,Southern Metropolitan,4,2,2,4.6,21.159999999999997,1890,3572100,1838665592,7717,5.676753802268282,5.577841251298354,1.0282944332908799,7.847311699494096,0,0,14.648420115681892
h,PI,Northern Metropolitan,4,1,1,8.4,70.56,1950,3802500,1175059592,14577,5.749392985908253,4.736198448394496,1.0282944332908799,12.629363803991343,0,0,13.641158361294979
u,S,Northern Metropolitan,3,1,1,12.0,144.0,2009,4036081,481447863,21650,5.187385805840755,4.61512051684126,1.0282944332908799,18.035248002995104,0,0,13.1421679654829
h,PI,Northern Metropolitan,3,1,2,12.0,144.0,1940,3763600,1288550592,21650,6.795705775173514,4.6443908991413725,1.0282944332908799,18.17895225973178,0,0,13.567050480716235
t,S,Northern Metropolitan,3,2,1,2.4,5.76,2008,4032064,493550080,14949,4.8283137373023015,4.820281565605037,1.0282944332908799,5.295402518527637,0,0,14.042646927360453
h,S,Northern Metropolitan,2,1,1,2.4,5.76,1890,3572100,1838665592,14949,4.709530201312334,4.290459441148391,1.0282944332908799,5.8678966787319,0,0,14.058457520888082
h,S,Northern Metropolitan,3,2,2,2.4,5.76,2007,4028049,505640249,14949,4.90527477843843,5.0106352940962555,1.0282944332908799,4.399093030607586,0,0,13.928840136128022
h,S,Northern Metropolitan,3,2,1,2.4,5.76,1997,3988009,625880619,14949,4.663439094112067,4.709530201312334,1.0282944332908799,4.67930968827275,0,0,13.989464705423494
h,S,Northern Metropolitan,3,3,3,2.4,5.76,2000,4000000,589934592,14949,4.406719247264253,4.406719247264253,1.0282944332908799,4.923749562713927,0,0,14.169683073439028
h,S,Eastern Metropolitan,4,2,1,21.3,453.69000000000005,1960,3841600,1060398592,4407,6.736966958001855,4.912654885736052,1.0282944332908799,27.558936775322216,0,0,13.976779556623864
h,SP,Eastern Metropolitan,3,2,2,19.9,396.00999999999993,1997,3988009,625880619,3619,5.726847747587197,4.852030263919617,1.0282944332908799,25.577400304732688,0,0,13.534474352733596
h,SP,South-Eastern Metropolitan,4,2,2,23.5,552.25,2003,4012009,553880565,11667,6.220590170099739,5.771441123130016,1.0282944332908799,38.63537554268557,0,0,13.821294796952953
h,SP,South-Eastern Metropolitan,4,2,1,34.7,1204.0900000000001,2002,4008004,565910584,2756,6.282266746896006,5.030437921392435,1.0282944332908799,52.06293255158211,0,0,13.227982059734272
u,S,Southern Metropolitan,3,2,3,1.9,3.61,2001,4004001,577928591,5943,0.0,4.736198448394496,1.0282944332908799,2.86031547346907,0,0,14.038654909278163
h,S,Southern Metropolitan,1,1,1,1.9,3.61,2000,4000000,589934592,5943,0.0,3.9889840465642745,1.0282944332908799,2.79263982245528,0,0,12.917798665647773
u,S,Southern Metropolitan,2,1,1,0.7,0.48999999999999994,1994,3976036,661718808,8400,9.092569836241674,4.356708826689592,1.0282944332908799,1.947639990238863,0,0,13.373123652170534
t,S,Western Metropolitan,3,1,1,14.0,196.0,2000,4000000,589934592,14042,5.081404364984463,4.867534450455582,1.0282944332908799,21.979448881039183,0,0,13.038983942375959
h,PI,Western Metropolitan,3,1,1,14.0,196.0,1960,3841600,1060398592,14042,6.368187186350492,4.762173934797756,1.0282944332908799,22.229042903760142,0,0,13.321215875492413
u,S,Western Metropolitan,3,1,1,14.0,196.0,1992,3968064,685551104,14042,5.963579343618446,4.564348191467836,1.0282944332908799,22.458168903660216,0,0,13.122365377402328
u,S,Southern Metropolitan,2,1,1,5.0,25.0,1920,3686400,1512046592,13240,7.024649030453636,4.442651256490317,1.0282944332908799,8.189877367295555,0,0,13.329379172803593
h,SP,Western Metropolitan,3,1,6,31.7,1004.89,1990,3960100,709335592,14092,6.461468176353717,4.795790545596741,1.0282944332908799,48.166474011002876,0,0,13.02805489573287
h,VB,Western Metropolitan,3,1,2,10.5,110.25,1970,3880900,944561592,3755,6.131226489483141,4.74493212836325,1.0282944332908799,13.897336066754669,0,0,13.60479076121576
h,S,Western Metropolitan,3,1,2,10.5,110.25,1965,3861225,1002627467,3755,6.448889394146858,4.7535901911063645,1.0282944332908799,12.641914062159671,0,0,13.598598798635953
u,S,Southern Metropolitan,2,1,1,10.2,104.03999999999999,1960,3841600,1060398592,5457,7.31455283232408,4.442651256490317,1.0282944332908799,13.151957564878446,0,0,13.60108018640869
h,S,Western Metropolitan,3,2,1,18.0,324.0,2000,4000000,589934592,3640,5.82600010738045,4.74493212836325,1.0282944332908799,29.768069592078255,0,0,13.062615496138552
h,S,Western Metropolitan,3,2,2,18.0,324.0,2008,4032064,493550080,4242,6.068425588244111,6.068425588244111,1.0282944332908799,28.61734799661295,0,0,13.232116033476537
h,S,Western Metropolitan,5,2,2,15.5,240.25,1996,3984016,637838656,5336,6.498282149476434,5.442417710521793,1.0282944332908799,27.58555523039462,0,0,13.567050480716235
h,S,Eastern Metropolitan,3,2,1,12.4,153.76000000000002,1965,3861225,1002627467,5420,6.513230110912307,5.017279836814924,1.0282944332908799,19.406901620249705,0,0,14.030622744032508
t,S,Northern Metropolitan,2,1,1,7.0,49.0,2010,4040100,469333592,8870,0.0,4.6443908991413725,1.0282944332908799,11.766148512081934,0,0,13.535797977912118
h,VB,Eastern Metropolitan,4,2,2,17.2,295.84,1975,3900625,886200217,4280,6.480044561926653,5.236441962829949,1.0282944332908799,23.442458046042354,0,0,13.864301674514206
h,SP,Western Metropolitan,3,2,2,14.7,216.08999999999997,1970,3880900,944561592,16166,6.933423025730715,5.278114659230517,1.0282944332908799,35.739834350640955,0,0,13.629182184591333
h,S,Northern Metropolitan,3,2,1,3.0,9.0,2004,4016016,541838528,4019,4.532599493153256,4.762173934797756,1.0282944332908799,6.171271265346956,0,0,13.658857917508856
u,PI,Southern Metropolitan,2,1,0,3.0,9.0,1930,3724900,1400877592,3280,5.783825182329737,4.07753744390572,1.0282944332908799,3.1998818223106027,0,0,13.437175577097312
h,VB,Northern Metropolitan,1,1,1,5.7,32.49,1970,3880900,944561592,2211,4.110873864173311,3.713572066704308,1.0282944332908799,10.73204162521892,0,0,12.706850963741102
h,S,Western Metropolitan,3,2,1,4.3,18.49,1990,3960100,709335592,6567,5.017279836814924,4.836281906951478,1.0282944332908799,7.832732382844313,0,0,13.825461878915961
h,S,Western Metropolitan,3,1,0,4.3,18.49,1900,3610000,1730934592,6567,5.2832037287379885,4.634728988229636,1.0282944332908799,7.61661942299834,0,0,13.805461232211272
h,S,Western Metropolitan,4,2,2,9.5,90.25,2004,4016016,541838528,4502,5.84354441703136,5.4638318050256105,1.0282944332908799,14.187610688670965,0,0,13.558035621229783
h,VB,Southern Metropolitan,5,3,2,9.7,94.08999999999999,1970,3880900,944561592,7809,6.729824070489475,5.1298987149230735,1.0282944332908799,13.692038885565928,0,0,14.978661680269907
h,S,Southern Metropolitan,4,3,2,13.8,190.44000000000003,1960,3841600,1060398592,10969,6.839476438228843,4.68213122712422,1.0282944332908799,22.100595223136544,0,0,14.411596576645124
h,SP,Southern Metropolitan,3,1,2,13.8,190.44000000000003,1950,3802500,1175059592,10969,6.364750756851911,4.867534450455582,1.0282944332908799,21.342771724645935,0,0,14.018452218287162
h,PI,Eastern Metropolitan,3,1,1,13.4,179.56,1960,3841600,1060398592,5713,5.817111159963204,4.709530201312334,1.0282944332908799,17.44036246454272,0,0,13.68767832281738
h,S,Eastern Metropolitan,3,1,2,13.4,179.56,1960,3841600,1060398592,4387,6.363028103540465,4.844187086458591,1.0282944332908799,18.654724472413328,0,0,14.049792644827868
h,VB,Western Metropolitan,2,1,2,8.6,73.96,1950,3802500,1175059592,3589,6.342121418721152,4.31748811353631,1.0282944332908799,12.645981245003803,0,0,13.25339339419516
h,SP,Southern Metropolitan,3,2,2,10.5,110.25,1991,3964081,697449321,10579,6.548219102762372,5.214935757608986,1.0282944332908799,16.620423405690882,0,0,14.791955589305939
h,S,Southern Metropolitan,4,2,2,10.3,106.09000000000002,2000,4000000,589934592,6938,6.587550014824796,5.707110264748875,1.0282944332908799,17.766494239412626,0,0,14.741752016731123
h,VB,Southern Metropolitan,3,1,2,10.3,106.09000000000002,1940,3763600,1288550592,6938,6.529418838262226,4.356708826689592,1.0282944332908799,16.01556018928298,0,0,14.077875591662238
h,PI,Northern Metropolitan,3,1,1,5.2,27.040000000000003,1900,3610000,1730934592,11918,6.008813185442595,5.056245805348308,1.0282944332908799,5.561278530626273,0,0,14.058457520888082
h,S,Northern Metropolitan,3,1,0,5.2,27.040000000000003,1890,3572100,1838665592,11918,5.231108616854587,4.624972813284271,1.0282944332908799,6.555076083453335,0,0,14.001160735415343
h,SP,Northern Metropolitan,4,2,2,5.2,27.040000000000003,1950,3802500,1175059592,7082,6.470799503782602,5.384495062789089,1.0282944332908799,7.55515369707466,0,0,14.05295220262253
h,S,Northern Metropolitan,3,1,2,5.2,27.040000000000003,1950,3802500,1175059592,7082,6.419994928147142,4.727387818712341,1.0282944332908799,6.101784213175347,0,0,14.183620571569953
h,PI,Northern Metropolitan,3,1,0,1.6,2.5600000000000005,1910,3648100,1622063592,6786,4.574710978503383,4.394449154672439,1.0282944332908799,3.5251176378549545,0,0,13.815511557963774
h,VB,Southern Metropolitan,4,2,2,8.7,75.68999999999998,1925,3705625,1456606467,5051,6.4425401664681985,5.225746673713202,1.0282944332908799,14.611922034405577,0,0,14.346139397261565
h,S,South-Eastern Metropolitan,4,2,2,27.0,729.0,1985,3940225,768587967,2076,6.285998094508865,5.313205979041787,1.0282944332908799,39.89844595675119,0,0,13.503537159062734
h,SP,Southern Metropolitan,3,1,1,17.9,320.40999999999997,1970,3880900,944561592,9758,5.905361848054571,4.804021044733257,1.0282944332908799,27.43334802493394,0,0,13.592368256649284
h,S,Southern Metropolitan,3,1,2,17.9,320.40999999999997,1965,3861225,1002627467,9758,6.280395838960195,4.912654885736052,1.0282944332908799,27.418129263036533,0,0,13.684263411604524
h,S,Southern Metropolitan,3,1,2,17.9,320.40999999999997,1965,3861225,1002627467,9758,6.2878585601617845,4.795790545596741,1.0282944332908799,27.173478036903337,0,0,13.710151153416941
u,SP,South-Eastern Metropolitan,3,2,1,16.7,278.89,2000,4000000,589934592,5837,5.765191102784844,4.6443908991413725,1.0282944332908799,27.084642690816707,0,0,13.567050480716235
h,PI,Northern Metropolitan,4,2,2,6.7,44.89,2002,4008004,565910584,11204,6.091309882077698,5.545177444479562,1.0282944332908799,10.920582331987578,0,0,13.83531416565213
h,S,Northern Metropolitan,2,1,1,6.7,44.89,1930,3724900,1400877592,11204,6.1675164908883415,4.584967478670572,1.0282944332908799,8.873168482201867,0,0,13.811503540582295
h,SP,Northern Metropolitan,2,1,0,2.0,4.0,1900,3610000,1730934592,4553,5.0238805208462765,4.48863636973214,1.0282944332908799,5.692204294615468,0,0,13.90626583447433
h,S,Northern Metropolitan,4,2,2,20.6,424.36000000000007,2009,4036081,481447863,15510,6.173786103901937,5.117993812416755,1.0282944332908799,30.57139813563331,0,0,13.106236027992704
h,S,Northern Metropolitan,3,2,2,20.6,424.36000000000007,2008,4032064,493550080,15510,5.575949103146316,5.111987788356544,1.0282944332908799,29.70315985719751,0,0,12.959846800844963
h,VB,Eastern Metropolitan,4,3,2,23.0,529.0,1970,3880900,944561592,11925,6.811244378601294,5.14166355650266,1.0282944332908799,32.3767600135873,0,0,13.664688831019712
h,SP,South-Eastern Metropolitan,3,2,1,22.2,492.84,1980,3920400,827542592,3940,6.267200548541362,5.247024072160486,1.0282944332908799,34.68576706768974,0,0,13.593617474489168
h,S,South-Eastern Metropolitan,5,3,2,22.2,492.84,1975,3900625,886200217,3940,6.429719478039138,5.0369526024136295,1.0282944332908799,32.18086384555249,0,0,13.769467666582738
h,S,Eastern Metropolitan,3,1,2,18.0,324.0,1985,3940225,768587967,2346,6.645090969505644,4.812184355372417,1.0282944332908799,31.194452095609137,0,0,13.782471737477271
